cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	6	400	3	52464000
-0.3	4	800	1	50228000
-0.3	4	1000	50	52118000
-0.3	4	800	300	52158000
-0.3	4	1000	10	50820000
-0.3	6	400	1	52330000
-0.3	4	800	500	49726000
-0.3	4	1000	30	5.2e+07
-0.5	6	400	5	52376000
-0.5	4	800	5	50968000
-0.3	4	1000	500	49726000
-0.5	6	400	3	52464000
-0.5	4	800	3	50078000
-0.5	4	1000	50	52118000
-0.5	4	800	1	50228000
-0.5	6	400	1	52330000
-0.5	4	1000	10	50820000
-0.5	4	800	300	52158000
-0.5	4	1000	30	5.2e+07
-0.7	6	400	5	52376000
-0.5	4	800	500	49726000
-0.7	4	800	5	50968000
-0.7	6	400	3	52464000
-0.7	4	800	3	50078000
-0.7	6	400	1	52330000
-0.7	4	800	1	50228000
-0.3	6	200	5	52686000
-0.7	4	800	300	52158000
-0.7	4	800	500	49726000
-0.3	6	200	3	52586000
-0.3	4	600	5	51092000
-0.3	6	200	1	52252000
-0.3	4	600	3	50202000
-0.5	6	200	5	52686000
-0.3	4	600	1	50352000
-0.3	4	600	300	52158000
-0.5	6	200	3	52586000
-0.3	4	600	500	49726000
-0.5	6	200	1	52252000
-0.5	4	600	5	51092000
-0.7	6	200	5	52686000
-0.5	4	600	3	50202000
-0.7	6	200	3	52586000
-0.5	4	600	1	50352000
-0.5	4	600	300	52158000
-0.7	6	200	1	52252000
-0.5	4	600	500	49726000
-0.3	6	100	5	52222000
-0.7	4	600	5	51092000
-0.3	6	100	3	52168000
-0.7	4	600	3	50202000
-0.7	4	600	1	50352000
-0.3	6	100	1	51932000
-0.7	4	600	300	52158000
-0.5	6	100	5	52222000
-0.7	4	600	500	49726000
-0.5	6	100	3	52168000
-0.3	4	400	5	51092000
-0.3	4	400	3	50202000
-0.5	6	100	1	51932000
-0.3	4	400	1	50352000
-0.7	6	100	5	52222000
-0.3	4	400	300	52158000
-0.7	6	100	3	52168000
-0.3	4	400	500	49726000
-0.5	4	400	5	51092000
-0.7	6	100	1	51932000
-0.5	4	400	3	50202000
-0.3	8	1000	5	54360000
-0.5	4	400	1	50352000
-0.5	4	400	300	52158000
-0.3	8	1000	3	53840000
-0.5	4	400	500	49726000
-0.7	4	4000	5	53650000
092000
-0.7	4	400	3	50202000
-0.5	8	1000	5	54360000
-0.7	4	400	1	50352000
-0.7	4	400	300	52158000
-0.5	8	1000	3	53840000
-0.7	4	400	500	49726000
-0.5	8	1000	1	53650000
-0.3	4	200	5	51092000
-0.3	4	200	3	50202000
-0.7	8	1000	5	54360000
-0.3	4	200	1	50352000
-0.3	4	200	300	52158000
-0.7	8	1000	3	53840000
-0.3	4	200	500	49726000
-0.7	8	1000	1	53650000
-0.5	4	200	5	51092000
-0.5	4	200	3	50202000
-0.3	8	800	5	54486000
-0.5	4	200	1	50352000
-0.3	8	800	3	53966000
-0.5	4	200	300	52158000
-0.5	4	200	500	49726000
-0.3	8	800	1	53800000
-0.7	4	200	5	51092000
-0.7	4	200	3	50202000
-0.5	8	800	5	54486000
