envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	36000	108000	-12000	108000	-12000	-12000	
5	57000	225000	-15000	105000	-15000	-15000	
6	54000	222000	-18000	102000	-18000	-18000	
7	51000	219000	-21000	99000	-21000	-21000	
8	72000	336000	-24000	96000	-24000	-24000	
9	69000	333000	-27000	93000	-27000	-27000	
10	66000	330000	-30000	90000	-30000	-30000	
11	63000	327000	-33000	87000	-33000	-33000	
12	84000	324000	-36000	84000	-36000	84000	
13	81000	321000	-39000	81000	-39000	81000	
14	102000	318000	-42000	198000	-42000	78000	
15	123000	315000	-45000	195000	75000	75000	
16	144000	312000	72000	192000	72000	72000	
17	141000	309000	69000	189000	69000	69000	
18	138000	306000	66000	186000	66000	66000	
19	135000	303000	63000	183000	63000	63000	
20	180000	3e+05	180000	3e+05	60000	60000	
21	177000	297000	177000	297000	57000	57000	
22	198000	294000	294000	294000	54000	54000	
23	219000	291000	291000	291000	51000	171000	
24	216000	288000	288000	288000	48000	168000	
25	237000	285000	405000	285000	45000	165000	
26	234000	282000	402000	282000	42000	162000	
27	255000	279000	399000	279000	39000	279000	
28	276000	276000	396000	396000	36000	276000	
29	297000	273000	393000	393000	33000	393000	
30	366000	270000	510000	390000	150000	510000	
31	363000	267000	507000	387000	147000	507000	
32	408000	384000	624000	384000	144000	504000	
33	405000	381000	621000	381000	141000	501000	
34	402000	378000	618000	378000	138000	498000	
35	399000	375000	615000	375000	135000	495000	
36	420000	372000	612000	372000	252000	492000	
37	417000	369000	609000	369000	249000	489000	
38	414000	366000	606000	366000	246000	486000	
39	411000	363000	603000	363000	243000	483000	
40	408000	360000	6e+05	360000	240000	480000	
41	453000	357000	597000	477000	357000	477000	
42	450000	354000	594000	474000	354000	474000	
43	447000	351000	591000	471000	351000	471000	
44	444000	348000	588000	468000	348000	468000	
45	441000	345000	585000	465000	345000	465000	
46	438000	342000	582000	462000	342000	462000	
47	507000	339000	699000	579000	459000	459000	
48	504000	336000	696000	576000	456000	456000	
49	501000	333000	693000	573000	453000	453000	
50	522000	330000	690000	570000	450000	570000	
51	591000	447000	687000	687000	447000	687000	
52	588000	444000	684000	684000	444000	684000	
53	609000	441000	681000	681000	561000	681000	
54	606000	438000	678000	678000	558000	678000	
55	627000	555000	675000	675000	555000	675000	
56	624000	552000	672000	672000	552000	672000	
57	621000	549000	669000	669000	549000	669000	
58	666000	546000	786000	666000	546000	786000	
59	663000	543000	783000	663000	543000	783000	
60	708000	660000	780000	780000	540000	780000	
61	705000	657000	777000	777000	537000	777000	
62	750000	654000	774000	894000	654000	774000	
63	771000	651000	771000	891000	651000	891000	
64	792000	648000	768000	888000	648000	1008000	
65	789000	645000	765000	885000	645000	1005000	
66	810000	642000	762000	1002000	642000	1002000	
67	831000	639000	879000	999000	639000	999000	
68	852000	636000	996000	996000	636000	996000	
69	873000	633000	993000	1113000	633000	993000	
70	894000	630000	990000	1110000	630000	1110000	
71	915000	747000	987000	1107000	627000	1107000	
72	912000	744000	984000	1104000	624000	1104000	
73	933000	861000	981000	1101000	621000	1101000	
74	930000	858000	978000	1098000	618000	1098000	
75	951000	855000	975000	1095000	615000	1215000	
76	948000	852000	972000	1092000	612000	1212000	
77	969000	969000	969000	1089000	609000	1209000	
78	990000	966000	966000	1086000	606000	1326000	
