envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	-3000	117000	-3000	-3000	-3000	
2	42000	-6000	114000	-6000	114000	-6000	
3	39000	-9000	111000	-9000	111000	-9000	
4	108000	-12000	108000	108000	228000	108000	
5	129000	105000	105000	105000	225000	105000	
6	150000	102000	222000	102000	222000	102000	
7	147000	99000	219000	99000	219000	99000	
8	168000	96000	216000	96000	336000	96000	
9	189000	93000	213000	213000	333000	93000	
10	210000	90000	210000	330000	330000	90000	
11	231000	207000	207000	327000	327000	87000	
12	228000	204000	204000	324000	324000	84000	
13	225000	201000	201000	321000	321000	81000	
14	222000	198000	198000	318000	318000	78000	
15	219000	195000	195000	315000	315000	75000	
16	216000	192000	192000	312000	312000	72000	
17	213000	189000	189000	309000	309000	69000	
18	234000	186000	306000	306000	306000	66000	
19	231000	183000	303000	303000	303000	63000	
20	252000	180000	3e+05	3e+05	3e+05	180000	
21	249000	177000	297000	297000	297000	177000	
22	270000	174000	294000	294000	414000	174000	
23	291000	171000	291000	411000	411000	171000	
24	288000	168000	288000	408000	408000	168000	
25	285000	165000	285000	405000	405000	165000	
26	306000	162000	282000	402000	522000	162000	
27	303000	159000	279000	399000	519000	159000	
28	324000	156000	276000	396000	516000	276000	
29	321000	153000	273000	393000	513000	273000	
30	366000	150000	270000	390000	630000	390000	
31	363000	147000	267000	387000	627000	387000	
32	384000	264000	264000	384000	624000	384000	
33	405000	261000	261000	381000	741000	381000	
34	402000	258000	258000	378000	738000	378000	
35	423000	255000	255000	495000	735000	375000	
36	444000	252000	252000	492000	732000	492000	
37	441000	249000	249000	489000	729000	489000	
38	438000	246000	246000	486000	726000	486000	
39	483000	363000	363000	483000	723000	483000	
40	480000	360000	360000	480000	720000	480000	
41	501000	357000	477000	477000	717000	477000	
42	498000	354000	474000	474000	714000	474000	
43	495000	351000	471000	471000	711000	471000	
44	492000	348000	468000	468000	708000	468000	
45	513000	465000	465000	465000	705000	465000	
46	534000	462000	462000	462000	822000	462000	
47	531000	459000	459000	459000	819000	459000	
48	552000	576000	456000	456000	816000	456000	
49	549000	573000	453000	453000	813000	453000	
50	594000	570000	570000	450000	930000	450000	
51	615000	567000	687000	447000	927000	447000	
52	636000	564000	684000	444000	924000	564000	
53	657000	561000	801000	441000	921000	561000	
54	678000	678000	798000	438000	918000	558000	
55	675000	675000	795000	435000	915000	555000	
56	672000	672000	792000	432000	912000	552000	
57	669000	669000	789000	429000	909000	549000	
58	690000	666000	786000	426000	906000	666000	
59	711000	783000	783000	423000	903000	663000	
60	708000	780000	780000	420000	9e+05	660000	
61	729000	777000	777000	417000	897000	777000	
62	726000	774000	774000	414000	894000	774000	
63	723000	771000	771000	411000	891000	771000	
64	768000	768000	888000	408000	888000	888000	
65	765000	765000	885000	405000	885000	885000	
66	762000	762000	882000	402000	882000	882000	
67	759000	759000	879000	399000	879000	879000	
68	780000	756000	876000	516000	876000	876000	
69	801000	753000	873000	513000	993000	873000	
70	822000	750000	870000	510000	990000	990000	
71	843000	747000	987000	507000	987000	987000	
72	864000	744000	984000	624000	984000	984000	
73	861000	741000	981000	621000	981000	981000	
74	858000	738000	978000	618000	978000	978000	
75	855000	735000	975000	615000	975000	975000	
76	876000	852000	972000	612000	972000	972000	
77	873000	849000	969000	609000	969000	969000	
78	870000	846000	966000	606000	966000	966000	
79	915000	843000	1083000	723000	963000	963000	
80	960000	840000	1200000	720000	1080000	960000	
81	957000	837000	1197000	717000	1077000	957000	
82	954000	834000	1194000	714000	1074000	954000	
83	975000	831000	1191000	711000	1071000	1071000	
84	972000	828000	1188000	708000	1068000	1068000	
85	993000	825000	1185000	705000	1185000	1065000	
86	1038000	942000	1182000	702000	1182000	1182000	
87	1035000	939000	1179000	699000	1179000	1179000	
88	1032000	936000	1176000	696000	1176000	1176000	
89	1029000	933000	1173000	693000	1173000	1173000	
90	1050000	930000	1170000	690000	1170000	1290000	
91	1047000	927000	1167000	687000	1167000	1287000	
92	1044000	924000	1164000	684000	1164000	1284000	
93	1041000	921000	1161000	681000	1161000	1281000	
94	1062000	918000	1158000	678000	1278000	1278000	
95	1059000	915000	1155000	675000	1275000	1275000	
96	1080000	1032000	1152000	672000	1272000	1272000	
97	1101000	1029000	1149000	789000	1269000	1269000	
98	1098000	1026000	1146000	786000	1266000	1266000	
99	1095000	1023000	1143000	783000	1263000	1263000	
100	1092000	1020000	1140000	780000	1260000	1260000	
101	1089000	1017000	1137000	777000	1257000	1257000	
102	1086000	1014000	1134000	774000	1254000	1254000	
103	1107000	1131000	1131000	771000	1251000	1251000	
104	1152000	1128000	1248000	768000	1368000	1248000	
105	1149000	1125000	1245000	765000	1365000	1245000	
106	1146000	1122000	1242000	762000	1362000	1242000	
107	1143000	1119000	1239000	759000	1359000	1239000	
108	1164000	1236000	1236000	756000	1356000	1236000	
109	1185000	1233000	1233000	873000	1353000	1233000	
110	1206000	1230000	1350000	870000	1350000	1230000	
111	1251000	1347000	1347000	867000	1467000	1227000	
112	1248000	1344000	1344000	864000	1464000	1224000	
113	1245000	1341000	1341000	861000	1461000	1221000	
114	1242000	1338000	1338000	858000	1458000	1218000	
115	1263000	1335000	1335000	975000	1455000	1215000	
116	1284000	1332000	1452000	972000	1452000	1212000	
117	1281000	1329000	1449000	969000	1449000	1209000	
118	1302000	1326000	1566000	966000	1446000	1206000	
119	1299000	1323000	1563000	963000	1443000	1203000	
120	1320000	1320000	1560000	960000	1440000	1320000	
121	1341000	1317000	1557000	957000	1557000	1317000	
122	1386000	1434000	1674000	954000	1554000	1314000	
123	1407000	1431000	1791000	951000	1551000	1311000	
124	1404000	1428000	1788000	948000	1548000	1308000	
125	1401000	1425000	1785000	945000	1545000	1305000	
