envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	-12000	108000	-12000	-12000	-12000	
5	9000	-15000	105000	-15000	-15000	-15000	
6	54000	-18000	102000	102000	-18000	102000	
7	51000	-21000	99000	99000	-21000	99000	
8	72000	-24000	96000	216000	-24000	96000	
9	69000	-27000	93000	213000	-27000	93000	
10	90000	-30000	90000	330000	-30000	90000	
11	87000	-33000	87000	327000	-33000	87000	
12	132000	-36000	204000	324000	84000	84000	
13	201000	81000	321000	441000	81000	81000	
14	246000	78000	318000	438000	198000	198000	
15	243000	75000	315000	435000	195000	195000	
16	240000	72000	312000	432000	192000	192000	
17	285000	189000	309000	429000	189000	309000	
18	306000	186000	306000	546000	186000	306000	
19	351000	303000	303000	543000	183000	423000	
20	348000	3e+05	3e+05	540000	180000	420000	
21	369000	297000	297000	537000	297000	417000	
22	414000	414000	294000	534000	294000	534000	
23	411000	411000	291000	531000	291000	531000	
24	432000	408000	288000	648000	288000	528000	
25	453000	525000	285000	645000	285000	525000	
26	450000	522000	282000	642000	282000	522000	
27	495000	519000	399000	759000	279000	519000	
28	492000	516000	396000	756000	276000	516000	
29	489000	513000	393000	753000	273000	513000	
30	486000	510000	390000	750000	270000	510000	
31	483000	507000	387000	747000	267000	507000	
32	504000	504000	504000	744000	264000	504000	
33	501000	501000	501000	741000	261000	501000	
34	498000	498000	498000	738000	258000	498000	
35	495000	495000	495000	735000	255000	495000	
36	492000	492000	492000	732000	252000	492000	
37	513000	489000	609000	729000	249000	489000	
38	534000	606000	606000	726000	246000	486000	
39	555000	603000	603000	843000	243000	483000	
40	576000	6e+05	6e+05	840000	360000	480000	
41	573000	597000	597000	837000	357000	477000	
42	570000	594000	594000	834000	354000	474000	
43	567000	591000	591000	831000	351000	471000	
44	612000	708000	708000	828000	348000	468000	
45	633000	705000	825000	825000	345000	465000	
46	654000	822000	822000	822000	342000	462000	
47	651000	819000	819000	819000	339000	459000	
48	696000	816000	816000	936000	336000	576000	
49	717000	813000	813000	933000	333000	693000	
50	714000	810000	810000	930000	330000	690000	
51	711000	807000	807000	927000	327000	687000	
52	708000	804000	804000	924000	324000	684000	
53	705000	801000	801000	921000	321000	681000	
54	750000	798000	918000	918000	438000	678000	
55	747000	795000	915000	915000	435000	675000	
56	768000	792000	1032000	912000	432000	672000	
57	765000	789000	1029000	909000	429000	669000	
58	786000	906000	1026000	906000	426000	666000	
59	783000	903000	1023000	903000	423000	663000	
60	780000	9e+05	1020000	9e+05	420000	660000	
61	801000	897000	1017000	897000	417000	777000	
62	822000	894000	1014000	894000	414000	894000	
63	843000	891000	1011000	1011000	411000	891000	
64	840000	888000	1008000	1008000	408000	888000	
65	885000	885000	1005000	1005000	525000	1005000	
66	882000	882000	1002000	1002000	522000	1002000	
67	879000	879000	999000	999000	519000	999000	
68	948000	996000	996000	1116000	516000	1116000	
69	945000	993000	993000	1113000	513000	1113000	
70	942000	990000	990000	1110000	510000	1110000	
71	963000	987000	1107000	1107000	507000	1107000	
72	960000	984000	1104000	1104000	504000	1104000	
73	957000	981000	1101000	1101000	501000	1101000	
74	1002000	1098000	1098000	1218000	498000	1098000	
75	1047000	1215000	1215000	1215000	495000	1095000	
76	1044000	1212000	1212000	1212000	492000	1092000	
