envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	117000	-3000	-3000	-3000	-3000	
2	66000	114000	-6000	114000	-6000	114000	
3	63000	111000	-9000	111000	-9000	111000	
4	60000	108000	-12000	108000	-12000	108000	
5	57000	105000	-15000	105000	-15000	105000	
6	126000	102000	102000	102000	102000	222000	
7	147000	99000	99000	99000	99000	339000	
8	144000	96000	96000	96000	96000	336000	
9	165000	213000	93000	93000	93000	333000	
10	162000	210000	90000	90000	90000	330000	
11	159000	207000	87000	87000	87000	327000	
12	156000	204000	84000	84000	84000	324000	
13	201000	201000	201000	81000	201000	321000	
14	198000	198000	198000	78000	198000	318000	
15	219000	195000	195000	75000	315000	315000	
16	240000	192000	192000	192000	312000	312000	
17	261000	189000	189000	189000	429000	309000	
18	306000	186000	186000	306000	426000	426000	
19	303000	183000	183000	303000	423000	423000	
20	3e+05	180000	180000	3e+05	420000	420000	
21	297000	177000	177000	297000	417000	417000	
22	342000	294000	294000	294000	414000	414000	
23	339000	291000	291000	291000	411000	411000	
24	360000	408000	288000	288000	408000	408000	
25	381000	525000	285000	285000	405000	405000	
26	402000	642000	282000	282000	402000	402000	
27	399000	639000	279000	279000	399000	399000	
28	396000	636000	276000	276000	396000	396000	
29	465000	633000	393000	393000	393000	513000	
30	462000	630000	390000	390000	390000	510000	
31	483000	627000	387000	387000	507000	507000	
32	480000	624000	384000	384000	504000	504000	
33	477000	621000	381000	381000	501000	501000	
34	498000	618000	498000	378000	498000	498000	
35	495000	615000	495000	375000	495000	495000	
36	516000	612000	612000	372000	492000	492000	
37	513000	609000	609000	369000	489000	489000	
38	534000	606000	606000	366000	486000	606000	
39	531000	603000	603000	363000	483000	603000	
40	552000	6e+05	6e+05	360000	6e+05	6e+05	
41	573000	717000	597000	357000	597000	597000	
42	570000	714000	594000	354000	594000	594000	
43	591000	831000	591000	351000	591000	591000	
44	588000	828000	588000	348000	588000	588000	
45	585000	825000	585000	345000	585000	585000	
46	606000	822000	582000	342000	582000	702000	
47	627000	819000	579000	339000	699000	699000	
48	624000	816000	576000	336000	696000	696000	
49	621000	813000	573000	333000	693000	693000	
50	642000	810000	570000	330000	690000	810000	
51	663000	807000	567000	447000	687000	807000	
52	660000	804000	564000	444000	684000	804000	
53	657000	801000	561000	441000	681000	801000	
54	654000	798000	558000	438000	678000	798000	
55	675000	795000	675000	435000	675000	795000	
56	672000	792000	672000	432000	672000	792000	
57	693000	789000	669000	429000	789000	789000	
58	690000	786000	666000	426000	786000	786000	
59	711000	903000	663000	423000	783000	783000	
60	756000	9e+05	780000	540000	780000	780000	
61	777000	897000	777000	657000	777000	777000	
62	822000	1014000	774000	774000	774000	774000	
63	819000	1011000	771000	771000	771000	771000	
64	864000	1008000	768000	888000	888000	768000	
65	885000	1005000	765000	885000	1005000	765000	
66	882000	1002000	762000	882000	1002000	762000	
67	879000	999000	759000	879000	999000	759000	
68	924000	1116000	756000	876000	996000	876000	
69	921000	1113000	753000	873000	993000	873000	
70	918000	1110000	750000	870000	990000	870000	
71	915000	1107000	747000	867000	987000	867000	
72	912000	1104000	744000	864000	984000	864000	
73	933000	1101000	741000	861000	981000	981000	
74	954000	1098000	738000	978000	978000	978000	
75	999000	1095000	735000	975000	1095000	1095000	
76	1020000	1092000	852000	972000	1092000	1092000	
77	1041000	1089000	849000	1089000	1089000	1089000	
78	1062000	1086000	846000	1086000	1086000	1206000	
79	1107000	1203000	843000	1083000	1203000	1203000	
80	1104000	1200000	840000	1080000	1200000	1200000	
81	1125000	1197000	957000	1077000	1197000	1197000	
82	1122000	1194000	954000	1074000	1194000	1194000	
83	1119000	1191000	951000	1071000	1191000	1191000	
84	1164000	1308000	948000	1068000	1188000	1308000	
85	1161000	1305000	945000	1065000	1185000	1305000	
86	1182000	1302000	942000	1182000	1182000	1302000	
87	1179000	1299000	939000	1179000	1179000	1299000	
88	1224000	1416000	1056000	1176000	1176000	1296000	
89	1245000	1533000	1053000	1173000	1173000	1293000	
90	1266000	1530000	1050000	1290000	1170000	1290000	
91	1263000	1527000	1047000	1287000	1167000	1287000	
92	1260000	1524000	1044000	1284000	1164000	1284000	
93	1305000	1641000	1041000	1281000	1161000	1401000	
94	1302000	1638000	1038000	1278000	1158000	1398000	
95	1323000	1635000	1035000	1275000	1155000	1515000	
96	1344000	1632000	1032000	1392000	1152000	1512000	
97	1341000	1629000	1029000	1389000	1149000	1509000	
98	1338000	1626000	1026000	1386000	1146000	1506000	
99	1335000	1623000	1023000	1383000	1143000	1503000	
100	1332000	1620000	1020000	1380000	1140000	1500000	
101	1329000	1617000	1017000	1377000	1137000	1497000	
102	1326000	1614000	1014000	1374000	1134000	1494000	
103	1323000	1611000	1011000	1371000	1131000	1491000	
104	1320000	1608000	1008000	1368000	1128000	1488000	
105	1317000	1605000	1005000	1365000	1125000	1485000	
106	1314000	1602000	1002000	1362000	1122000	1482000	
107	1311000	1599000	999000	1359000	1119000	1479000	
108	1332000	1716000	996000	1356000	1116000	1476000	
109	1353000	1713000	993000	1353000	1113000	1593000	
110	1374000	1710000	1110000	1350000	1110000	1590000	
111	1371000	1707000	1107000	1347000	1107000	1587000	
112	1368000	1704000	1104000	1344000	1104000	1584000	
113	1389000	1821000	1101000	1341000	1101000	1581000	
114	1410000	1938000	1098000	1338000	1098000	1578000	
115	1431000	1935000	1095000	1335000	1215000	1575000	
116	1452000	1932000	1092000	1332000	1332000	1572000	
117	1473000	1929000	1089000	1329000	1449000	1569000	
118	1518000	1926000	1086000	1326000	1566000	1686000	
119	1563000	1923000	1203000	1323000	1563000	1803000	
120	1560000	1920000	1200000	1320000	1560000	1800000	
121	1581000	2037000	1197000	1317000	1557000	1797000	
122	1578000	2034000	1194000	1314000	1554000	1794000	
123	1599000	2031000	1191000	1311000	1671000	1791000	
124	1596000	2028000	1188000	1308000	1668000	1788000	
125	1593000	2025000	1185000	1305000	1665000	1785000	
126	1590000	2022000	1182000	1302000	1662000	1782000	
127	1587000	2019000	1179000	1299000	1659000	1779000	
128	1584000	2016000	1176000	1296000	1656000	1776000	
129	1581000	2013000	1173000	1293000	1653000	1773000	
130	1578000	2010000	1170000	1290000	1650000	1770000	
131	1599000	2007000	1167000	1287000	1647000	1887000	
132	1620000	2004000	1284000	1284000	1644000	1884000	
