max_depth	min_split	ganancia_promedio
4	1000	50968000
4	800	50968000
4	600	51092000
4	400	51092000
4	200	51092000
4	100	50896000
4	50	50896000
4	20	50896000
4	10	50896000
6	1000	52350000
6	800	52488000
6	600	52570000
6	400	52376000
6	200	52686000
6	100	52222000
6	50	52046000
6	20	51742000
6	10	51438000
8	1000	54360000
8	800	54486000
8	600	54680000
8	400	53820000
8	200	54088000
8	100	53026000
8	50	51848000
8	20	50618000
8	10	49972000
10	1000	53826000
10	800	53470000
10	600	53712000
10	400	53164000
10	200	53470000
10	100	52538000
10	50	50536000
10	20	47170000
10	10	45974000
12	1000	52350000
12	800	52076000
12	600	51940000
12	400	51164000
12	200	50408000
12	100	49104000
12	50	45854000
12	20	41760000
12	10	40132000
14	1000	51050000
14	800	50248000
14	600	50604000
14	400	50364000
14	200	48864000
14	100	47130000
14	50	43426000
14	20	38440000
14	10	35916000
